IntensityIn IntensityOut Luminance
8.791208791208790507e-02 3.639734493018997319e-01 3.950344585003939812e+01
8.815628815628816228e-02 3.642633707179369629e-01 3.961631413569225657e+01
8.840048840048840562e-02 3.645532921339741939e-01 3.972121445178691346e+01
8.864468864468864895e-02 3.648889906157015139e-01 3.983263839131387840e+01
8.888888888888889228e-02 3.652552071412222268e-01 3.994180037094201907e+01
8.913308913308913561e-02 3.656824597543297251e-01 4.005267418748181285e+01
8.937728937728937895e-02 3.661860074769207052e-01 4.016036767130631091e+01
8.962148962148962228e-02 3.670405127031357018e-01 4.027341173039143030e+01
8.986568986568986561e-02 3.673151750972762919e-01 4.038206978659520985e+01
9.010989010989010894e-02 3.676203555352102192e-01 4.049426743156871566e+01
9.035409035409035228e-02 3.679407949950408430e-01 4.060232633402780777e+01
9.059829059829059561e-02 3.682917524986648594e-01 4.070912333401305716e+01
9.084249084249083894e-02 3.687037460898756613e-01 4.081895535444806455e+01
9.108669108669108228e-02 3.692072938124666415e-01 4.093021589448059672e+01
9.133089133089132561e-02 3.699855039291981562e-01 4.103972733676376095e+01
9.157509157509156894e-02 3.702449073014419945e-01 4.114921533983961410e+01
9.181929181929182615e-02 3.705195696955825291e-01 4.125795197998698427e+01
9.206349206349206948e-02 3.708247501335164564e-01 4.137002276088160357e+01
9.230769230769231282e-02 3.711451895933470801e-01 4.147770573207200329e+01
9.255189255189255615e-02 3.715114061188677930e-01 4.158813667057279417e+01
9.279609279609279948e-02 3.719233997100785949e-01 4.169613158566902200e+01
9.304029304029304281e-02 3.728999771114671624e-01 4.180646930058264843e+01
9.328449328449328615e-02 3.731593804837110007e-01 4.192017778993761112e+01
9.352869352869352948e-02 3.734187838559548389e-01 4.202717988656658576e+01
9.377289377289377281e-02 3.737087052719920699e-01 4.213876925629629966e+01
9.401709401709401615e-02 3.740138857099259972e-01 4.224703452615463561e+01
